,STATE,GEOID,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,NAME,LSAD,ALAND,AWATER,geometry,centroid,lon,lat,geometry_re
0,OH,39131,39,131,1074078,0500000US39131,Pike,6,1140324458,9567612,"POLYGON ((-83.35353099999999 39.197585, -82.78589099999999 39.168769, -82.80709 38.948073, -83.04361999999999 38.956939, -83.212107 38.960148, -83.27081699999999 39.015791, -83.314589 39.052195, -83.385637 39.055197, -83.35353099999999 39.197585))",POINT (-83.06769584018872 39.07634000872211),-83.06769584018872,39.07634000872211,"POLYGON ((-83.35353099999999 39.197585, -82.78589099999999 39.168769, -82.80709 38.948073, -83.04361999999999 38.956939, -83.212107 38.960148, -83.27081699999999 39.015791, -83.314589 39.052195, -83.385637 39.055197, -83.35353099999999 39.197585))"
1,WI,55035,55,35,1581077,0500000US55035,Eau Claire,6,1652211310,18848512,"POLYGON ((-91.65045499999999 44.855951, -90.922247 44.857309, -90.92234999999999 44.596293, -91.043815 44.59664, -91.16561899999999 44.596987, -91.529101 44.596197, -91.65024799999999 44.596649, -91.65036099999999 44.683633, -91.65045499999999 44.855951))",POINT (-91.28609183386752 44.72661400163859),-91.28609183386752,44.7266140016386,"POLYGON ((-91.65045499999999 44.855951, -90.922247 44.857309, -90.92234999999999 44.596293, -91.043815 44.59664, -91.16561899999999 44.596987, -91.529101 44.596197, -91.65024799999999 44.596649, -91.65036099999999 44.683633, -91.65045499999999 44.855951))"
2,TX,48259,48,259,1383915,0500000US48259,Kendall,6,1715747531,1496797,"POLYGON ((-98.920147 30.13829, -98.587897 30.138954, -98.414018 29.937557, -98.646124 29.745181, -98.652552 29.749865, -98.77878199999999 29.720167, -98.91772499999999 29.781398, -98.920147 30.13829))",POINT (-98.71135955694437 29.94566143682303),-98.71135955694436,29.945661436823038,"POLYGON ((-98.920147 30.13829, -98.587897 30.138954, -98.414018 29.937557, -98.646124 29.745181, -98.652552 29.749865, -98.77878199999999 29.720167, -98.91772499999999 29.781398, -98.920147 30.13829))"
3,OK,40015,40,15,1101795,0500000US40015,Caddo,6,3310745124,30820525,"POLYGON ((-98.623149 35.551597, -98.31325099999999 35.551523, -98.306326 35.377239, -98.096014 35.377753, -98.09264499999999 34.854919, -98.619816 34.854953, -98.621054 35.097352, -98.61824 35.117174, -98.62333599999999 35.464225, -98.623149 35.551597))",POINT (-98.37534463834308 35.17364557445208),-98.37534463834308,35.17364557445208,"POLYGON ((-98.623149 35.551597, -98.31325099999999 35.551523, -98.306326 35.377239, -98.096014 35.377753, -98.09264499999999 34.854919, -98.619816 34.854953, -98.621054 35.097352, -98.61824 35.117174, -98.62333599999999 35.464225, -98.623149 35.551597))"
4,IA,19093,19,93,465235,0500000US19093,Ida,6,1117599859,1406461,"POLYGON ((-95.74161099999999 42.561285, -95.38800999999999 42.561742, -95.387445 42.474796, -95.322357 42.474737, -95.32349699999999 42.210932, -95.670822 42.211408, -95.669265 42.474645, -95.741821 42.474865, -95.74161099999999 42.561285))",POINT (-95.51355387095936 42.38696136333127),-95.51355387095936,42.38696136333128,"POLYGON ((-95.74161099999999 42.561285, -95.38800999999999 42.561742, -95.387445 42.474796, -95.322357 42.474737, -95.32349699999999 42.210932, -95.670822 42.211408, -95.669265 42.474645, -95.741821 42.474865, -95.74161099999999 42.561285))"
5,MS,28071,28,71,695759,0500000US28071,Lafayette,6,1636141755,123052156,"POLYGON ((-89.721341 34.554274, -89.668448 34.554367, -89.476642 34.554168, -89.424459 34.519129, -89.32581999999999 34.525974, -89.246133 34.495633, -89.24633899999999 34.379344, -89.245485 34.161186, -89.509748 34.162082, -89.50944 34.19096, -89.72104999999999 34.192545, -89.721341 34.554274))",POINT (-89.4849096100213 34.35687874421591),-89.4849096100213,34.35687874421591,"POLYGON ((-89.721341 34.554274, -89.668448 34.554367, -89.476642 34.554168, -89.424459 34.519129, -89.32581999999999 34.525974, -89.246133 34.495633, -89.24633899999999 34.379344, -89.245485 34.161186, -89.509748 34.162082, -89.50944 34.19096, -89.72104999999999 34.192545, -89.721341 34.554274))"
6,FL,12027,12,27,294452,0500000US12027,DeSoto,6,1649978040,6247257,"POLYGON ((-82.05649699999999 27.207769, -82.055753 27.338264, -81.56369599999999 27.34068, -81.562202 27.033836, -81.98324199999999 27.03525, -82.057469 27.032119, -82.05649699999999 27.207769))",POINT (-81.80941373380176 27.1867789302738),-81.80941373380176,27.1867789302738,"POLYGON ((-82.05649699999999 27.207769, -82.055753 27.338264, -81.56369599999999 27.34068, -81.562202 27.033836, -81.98324199999999 27.03525, -82.057469 27.032119, -82.05649699999999 27.207769))"
7,NE,31137,31,137,835890,0500000US31137,Phelps,6,1398048574,1646534,"POLYGON ((-99.643462 40.684911, -99.444401 40.677892, -99.417316 40.670825, -99.376036 40.664262, -99.179248 40.66054099999999, -99.17940299999999 40.350681, -99.630459 40.35112, -99.64220899999999 40.3512, -99.643462 40.684911))",POINT (-99.41465112614063 40.51151142277798),-99.41465112614064,40.51151142277798,"POLYGON ((-99.643462 40.684911, -99.444401 40.677892, -99.417316 40.670825, -99.376036 40.664262, -99.179248 40.66054099999999, -99.17940299999999 40.350681, -99.630459 40.35112, -99.64220899999999 40.3512, -99.643462 40.684911))"
8,MI,26143,26,143,1623014,0500000US26143,Roscommon,6,1345852870,156421369,"POLYGON ((-84.85092899999999 44.511069, -84.370643 44.507223, -84.368039 44.160538, -84.608104 44.16048199999999, -84.851705 44.161375, -84.85092899999999 44.511069))",POINT (-84.61067651312344 44.33473082084372),-84.61067651312344,44.33473082084372,"POLYGON ((-84.85092899999999 44.511069, -84.370643 44.507223, -84.368039 44.160538, -84.608104 44.16048199999999, -84.851705 44.161375, -84.85092899999999 44.511069))"
9,ID,16075,16,75,394896,0500000US16075,Payette,6,1053857317,8870732,"POLYGON ((-116.976024 43.895548, -116.959871 43.98292499999999, -116.937342 44.029376, -116.977351 44.085364, -116.897854677115 44.1526663953914, -116.452068 44.15146499999999, -116.452551 44.065414, -116.532117 44.066024, -116.572224 43.98048499999999, -116.712501 43.981326, -116.712672 43.807161, -116.853154 43.79271, -116.95452 43.836487, -116.98554503849 43.8811848528138, -116.976024 43.895548))",POINT (-116.7647694527537 44.00545243313907),-116.76476945275368,44.00545243313907,"POLYGON ((-116.976024 43.895548, -116.959871 43.98292499999999, -116.937342 44.029376, -116.977351 44.085364, -116.897854677115 44.1526663953914, -116.452068 44.15146499999999, -116.452551 44.065414, -116.532117 44.066024, -116.572224 43.98048499999999, -116.712501 43.981326, -116.712672 43.807161, -116.853154 43.79271, -116.95452 43.836487, -116.98554503849 43.8811848528138, -116.976024 43.895548))"
