Series ID,Year,Period,Label,Value
WPU016101,2000,M01,2000 Jan,90.1
WPU016101,2000,M02,2000 Feb,89.3
WPU016101,2000,M03,2000 Mar,90.1
WPU016101,2000,M04,2000 Apr,90.1
WPU016101,2000,M05,2000 May,90.8
WPU016101,2000,M06,2000 Jun,92.3
WPU016101,2000,M07,2000 Jul,95.3
WPU016101,2000,M08,2000 Aug,94.6
WPU016101,2000,M09,2000 Sep,96.8
WPU016101,2000,M10,2000 Oct,94.6
WPU016101,2000,M11,2000 Nov,90.8
WPU016101,2000,M12,2000 Dec,98.3
WPU016101,2001,M01,2001 Jan,99.1
WPU016101,2001,M02,2001 Feb,98.3
WPU016101,2001,M03,2001 Mar,104.3
WPU016101,2001,M04,2001 Apr,108.8
WPU016101,2001,M05,2001 May,115.6
WPU016101,2001,M06,2001 Jun,121.6
WPU016101,2001,M07,2001 Jul,122.3
WPU016101,2001,M08,2001 Aug,123.8
WPU016101,2001,M09,2001 Sep,127.6
WPU016101,2001,M10,2001 Oct,117.8
WPU016101,2001,M11,2001 Nov,108.8
WPU016101,2001,M12,2001 Dec,100.6
WPU016101,2002,M01,2002 Jan,100.6
WPU016101,2002,M02,2002 Feb,98.3
WPU016101,2002,M03,2002 Mar,95.3
WPU016101,2002,M04,2002 Apr,94.6
WPU016101,2002,M05,2002 May,91.6
WPU016101,2002,M06,2002 Jun,87.8
WPU016101,2002,M07,2002 Jul,84.1
WPU016101,2002,M08,2002 Aug,85.6
WPU016101,2002,M09,2002 Sep,87.1
WPU016101,2002,M10,2002 Oct,90.8
WPU016101,2002,M11,2002 Nov,89.3
WPU016101,2002,M12,2002 Dec,89.3
WPU016101,2003,M01,2003 Jan,88.6
WPU016101,2003,M02,2003 Feb,85.6
WPU016101,2003,M03,2003 Mar,82.6
WPU016101,2003,M04,2003 Apr,83.3
WPU016101,2003,M05,2003 May,83.3
WPU016101,2003,M06,2003 Jun,83.3
WPU016101,2003,M07,2003 Jul,90.1
WPU016101,2003,M08,2003 Aug,99.1
WPU016101,2003,M09,2003 Sep,108.1
WPU016101,2003,M10,2003 Oct,112.6
WPU016101,2003,M11,2003 Nov,108.8
WPU016101,2003,M12,2003 Dec,103.6
WPU016101,2004,M01,2004 Jan,99.1
WPU016101,2004,M02,2004 Feb,102.1
WPU016101,2004,M03,2004 Mar,115.6
WPU016101,2004,M04,2004 Apr,136.6
WPU016101,2004,M05,2004 May,145.6
WPU016101,2004,M06,2004 Jun,137.4
WPU016101,2004,M07,2004 Jul,120.1
WPU016101,2004,M08,2004 Aug,112.6
WPU016101,2004,M09,2004 Sep,115.6
WPU016101,2004,M10,2004 Oct,116.3
WPU016101,2004,M11,2004 Nov,120.8
WPU016101,2004,M12,2004 Dec,123.1
WPU016101,2005,M01,2005 Jan,119.3
WPU016101,2005,M02,2005 Feb,116.3
WPU016101,2005,M03,2005 Mar,117.1
WPU016101,2005,M04,2005 Apr,114.1
WPU016101,2005,M05,2005 May,111.1
WPU016101,2005,M06,2005 Jun,108.8
WPU016101,2005,M07,2005 Jul,111.8
WPU016101,2005,M08,2005 Aug,111.1
WPU016101,2005,M09,2005 Sep,114.8
WPU016101,2005,M10,2005 Oct,116.3
WPU016101,2005,M11,2005 Nov,113.3
WPU016101,2005,M12,2005 Dec,111.1
WPU016101,2006,M01,2006 Jan,108.8
WPU016101,2006,M02,2006 Feb,101.3
WPU016101,2006,M03,2006 Mar,94.6
WPU016101,2006,M04,2006 Apr,91.6
WPU016101,2006,M05,2006 May,90.1
WPU016101,2006,M06,2006 Jun,89.3
WPU016101,2006,M07,2006 Jul,88.6
WPU016101,2006,M08,2006 Aug,90.8
WPU016101,2006,M09,2006 Sep,96.8
WPU016101,2006,M10,2006 Oct,101.3
WPU016101,2006,M11,2006 Nov,104.3
